Student ID,CI,python,DM,mailid
1,0,0,0,student_1@gmail.com
2,0,0,0,student_2@gmail.com
3,0,0,0,student_3@gmail.com
4,0,0,0,student_4@gmail.com
5,0,0,0,student_5@gmail.com
6,0,0,0,student_6@gmail.com
7,0,0,0,student_7@gmail.com
8,0,0,0,student_8@gmail.com
9,0,0,0,student_9@gmail.com
10,0,0,0,student_10@gmail.com
11,0,0,0,student_11@gmail.com
12,0,0,0,student_12@gmail.com
13,0,0,0,student_13@gmail.com
14,0,0,0,student_14@gmail.com
15,0,0,0,student_15@gmail.com
16,0,0,0,student_16@gmail.com
17,0,0,0,student_17@gmail.com
18,0,0,0,student_18@gmail.com
19,0,0,0,student_19@gmail.com
20,0,0,0,student_20@gmail.com
21,0,0,0,student_21@gmail.com
22,0,0,0,student_22@gmail.com
23,0,0,0,student_23@gmail.com
24,0,0,0,student_24@gmail.com
25,0,0,0,student_25@gmail.com
26,0,0,0,student_26@gmail.com
27,0,0,0,student_27@gmail.com
28,0,0,0,student_28@gmail.com
29,0,0,0,student_29@gmail.com
30,0,0,0,student_30@gmail.com
31,0,0,0,student_31@gmail.com
32,0,0,0,student_32@gmail.com
33,0,0,0,student_33@gmail.com
34,0,0,0,student_34@gmail.com
35,0,0,0,student_35@gmail.com
36,0,0,0,student_36@gmail.com
37,0,0,0,student_37@gmail.com
38,0,0,0,student_38@gmail.com
39,0,0,0,student_39@gmail.com
40,0,0,0,student_40@gmail.com
41,0,0,0,student_41@gmail.com
42,0,0,0,student_42@gmail.com
43,0,0,0,student_43@gmail.com
44,0,0,0,student_44@gmail.com
45,0,0,0,student_45@gmail.com
46,0,0,0,student_46@gmail.com
47,0,0,0,student_47@gmail.com
48,0,0,0,student_48@gmail.com
49,0,0,0,student_49@gmail.com
50,0,0,0,student_50@gmail.com
51,0,0,0,student_51@gmail.com
52,0,0,0,student_52@gmail.com
53,0,0,0,student_53@gmail.com
54,0,0,0,student_54@gmail.com
55,0,0,0,student_55@gmail.com
56,0,0,0,student_56@gmail.com
57,0,0,0,student_57@gmail.com
58,0,0,0,student_58@gmail.com
59,0,0,0,student_59@gmail.com
60,0,0,0,student_60@gmail.com
61,0,0,0,student_61@gmail.com
62,0,0,0,student_62@gmail.com
63,0,0,0,student_63@gmail.com
64,0,0,0,student_64@gmail.com
65,0,0,0,student_65@gmail.com
66,0,0,0,student_66@gmail.com
67,0,0,0,student_67@gmail.com
68,0,0,0,student_68@gmail.com
69,0,0,0,student_69@gmail.com
70,0,0,0,student_70@gmail.com
71,0,0,0,student_71@gmail.com
72,0,0,0,student_72@gmail.com
73,0,0,0,student_73@gmail.com
74,0,0,0,student_74@gmail.com
75,0,0,0,student_75@gmail.com
76,0,0,0,student_76@gmail.com
77,0,0,0,student_77@gmail.com
78,0,0,0,student_78@gmail.com
79,0,0,0,student_79@gmail.com
80,0,0,0,student_80@gmail.com
81,0,0,0,student_81@gmail.com
82,0,0,0,student_82@gmail.com
83,0,0,0,student_83@gmail.com
84,0,0,0,student_84@gmail.com
85,0,0,0,student_85@gmail.com
86,0,0,0,student_86@gmail.com
87,0,0,0,student_87@gmail.com
88,0,0,0,student_88@gmail.com
89,0,0,0,student_89@gmail.com
90,0,0,0,student_90@gmail.com
91,0,0,0,student_91@gmail.com
92,0,0,0,student_92@gmail.com
93,0,0,0,student_93@gmail.com
94,0,0,0,student_94@gmail.com
95,0,0,0,student_95@gmail.com
96,0,0,0,student_96@gmail.com
97,0,0,0,student_97@gmail.com
98,0,0,0,student_98@gmail.com
99,0,0,0,student_99@gmail.com
100,0,0,0,student_100@gmail.com
101,0,0,0,student_101@gmail.com
102,0,0,0,student_102@gmail.com
103,0,0,0,student_103@gmail.com
104,0,0,0,student_104@gmail.com
105,0,0,0,student_105@gmail.com
106,0,0,0,student_106@gmail.com
107,0,0,0,student_107@gmail.com
108,0,0,0,student_108@gmail.com
109,0,0,0,student_109@gmail.com
110,0,0,0,student_110@gmail.com
111,0,0,0,student_111@gmail.com
112,0,0,0,student_112@gmail.com
113,0,0,0,student_113@gmail.com
114,0,0,0,student_114@gmail.com
115,0,0,0,student_115@gmail.com
116,0,0,0,student_116@gmail.com
117,0,0,0,student_117@gmail.com
118,0,0,0,student_118@gmail.com
119,0,0,0,student_119@gmail.com
120,0,0,0,student_120@gmail.com
121,0,0,0,student_121@gmail.com
122,0,0,0,student_122@gmail.com
123,0,0,0,student_123@gmail.com
124,0,0,0,student_124@gmail.com
125,0,0,0,student_125@gmail.com
126,0,0,0,student_126@gmail.com
127,0,0,0,student_127@gmail.com
128,0,0,0,student_128@gmail.com
129,0,0,0,student_129@gmail.com
130,0,0,0,student_130@gmail.com
131,0,0,0,student_131@gmail.com
132,0,0,0,student_132@gmail.com
133,0,0,0,student_133@gmail.com
134,0,0,0,student_134@gmail.com
135,0,0,0,student_135@gmail.com
136,0,0,0,student_136@gmail.com
137,0,0,0,student_137@gmail.com
138,0,0,0,student_138@gmail.com
139,0,0,0,student_139@gmail.com
140,0,0,0,student_140@gmail.com
141,0,0,0,student_141@gmail.com
142,0,0,0,student_142@gmail.com
143,0,0,0,student_143@gmail.com
144,0,0,0,student_144@gmail.com
145,0,0,0,student_145@gmail.com
146,0,0,0,student_146@gmail.com
147,0,0,0,student_147@gmail.com
148,0,0,0,student_148@gmail.com
149,0,0,0,student_149@gmail.com
150,0,0,0,student_150@gmail.com
151,0,0,0,student_151@gmail.com
152,0,0,0,student_152@gmail.com
153,0,0,0,student_153@gmail.com
154,0,0,0,student_154@gmail.com
155,0,0,0,student_155@gmail.com
156,0,0,0,student_156@gmail.com
157,0,0,0,student_157@gmail.com
158,0,0,0,student_158@gmail.com
159,0,0,0,student_159@gmail.com
160,0,0,0,student_160@gmail.com
161,0,0,0,student_161@gmail.com
162,0,0,0,student_162@gmail.com
163,0,0,0,student_163@gmail.com
164,0,0,0,student_164@gmail.com
165,0,0,0,student_165@gmail.com
166,0,0,0,student_166@gmail.com
167,0,0,0,student_167@gmail.com
168,0,0,0,student_168@gmail.com
169,0,0,0,student_169@gmail.com
170,0,0,0,student_170@gmail.com
171,0,0,0,student_171@gmail.com
172,0,0,0,student_172@gmail.com
173,0,0,0,student_173@gmail.com
174,0,0,0,student_174@gmail.com
175,0,0,0,student_175@gmail.com
176,0,0,0,student_176@gmail.com
177,0,0,0,student_177@gmail.com
178,0,0,0,student_178@gmail.com
179,0,0,0,student_179@gmail.com
180,0,0,0,student_180@gmail.com
181,0,0,0,student_181@gmail.com
182,0,0,0,student_182@gmail.com
183,0,0,0,student_183@gmail.com
184,0,0,0,student_184@gmail.com
185,0,0,0,student_185@gmail.com
186,0,0,0,student_186@gmail.com
187,0,0,0,student_187@gmail.com
188,0,0,0,student_188@gmail.com
189,0,0,0,student_189@gmail.com
190,0,0,0,student_190@gmail.com
191,0,0,0,student_191@gmail.com
192,0,0,0,student_192@gmail.com
193,0,0,0,student_193@gmail.com
194,0,0,0,student_194@gmail.com
195,0,0,0,student_195@gmail.com
196,0,0,0,student_196@gmail.com
197,0,0,0,student_197@gmail.com
198,0,0,0,student_198@gmail.com
199,0,0,0,student_199@gmail.com
200,0,0,0,student_200@gmail.com
201,0,0,0,student_201@gmail.com
202,0,0,0,student_202@gmail.com
203,0,0,0,student_203@gmail.com
204,0,0,0,student_204@gmail.com
205,0,0,0,student_205@gmail.com
206,0,0,0,student_206@gmail.com
207,0,0,0,student_207@gmail.com
208,0,0,0,student_208@gmail.com
209,0,0,0,student_209@gmail.com
210,0,0,0,student_210@gmail.com
211,0,0,0,student_211@gmail.com
212,0,0,0,student_212@gmail.com
213,0,0,0,student_213@gmail.com
214,0,0,0,student_214@gmail.com
215,0,0,0,student_215@gmail.com
216,0,0,0,student_216@gmail.com
217,0,0,0,student_217@gmail.com
218,0,0,0,student_218@gmail.com
219,0,0,0,student_219@gmail.com
220,0,0,0,student_220@gmail.com
221,0,0,0,student_221@gmail.com
222,0,0,0,student_222@gmail.com
223,0,0,0,student_223@gmail.com
224,0,0,0,student_224@gmail.com
225,0,0,0,student_225@gmail.com
226,0,0,0,student_226@gmail.com
227,0,0,0,student_227@gmail.com
228,0,0,0,student_228@gmail.com
229,0,0,0,student_229@gmail.com
230,0,0,0,student_230@gmail.com
231,0,0,0,student_231@gmail.com
232,0,0,0,student_232@gmail.com
233,0,0,0,student_233@gmail.com
234,0,0,0,student_234@gmail.com
235,0,0,0,student_235@gmail.com
236,0,0,0,student_236@gmail.com
237,0,0,0,student_237@gmail.com
238,0,0,0,student_238@gmail.com
239,0,0,0,student_239@gmail.com
240,0,0,0,student_240@gmail.com
241,0,0,0,student_241@gmail.com
242,0,0,0,student_242@gmail.com
243,0,0,0,student_243@gmail.com
244,0,0,0,student_244@gmail.com
245,0,0,0,student_245@gmail.com
246,0,0,0,student_246@gmail.com
247,0,0,0,student_247@gmail.com
248,0,0,0,student_248@gmail.com
249,0,0,0,student_249@gmail.com
250,0,0,0,student_250@gmail.com
251,0,0,0,student_251@gmail.com
252,0,0,0,student_252@gmail.com
253,0,0,0,student_253@gmail.com
254,0,0,0,student_254@gmail.com
255,0,0,0,student_255@gmail.com
256,0,0,0,student_256@gmail.com
257,0,0,0,student_257@gmail.com
258,0,0,0,student_258@gmail.com
259,0,0,0,student_259@gmail.com
260,0,0,0,student_260@gmail.com
261,0,0,0,student_261@gmail.com
262,0,0,0,student_262@gmail.com
263,0,0,0,student_263@gmail.com
264,0,0,0,student_264@gmail.com
265,0,0,0,student_265@gmail.com
266,0,0,0,student_266@gmail.com
267,0,0,0,student_267@gmail.com
268,0,0,0,student_268@gmail.com
269,0,0,0,student_269@gmail.com
270,0,0,0,student_270@gmail.com
271,0,0,0,student_271@gmail.com
272,0,0,0,student_272@gmail.com
273,0,0,0,student_273@gmail.com
274,0,0,0,student_274@gmail.com
275,0,0,0,student_275@gmail.com
276,0,0,0,student_276@gmail.com
277,0,0,0,student_277@gmail.com
278,0,0,0,student_278@gmail.com
279,0,0,0,student_279@gmail.com
280,0,0,0,student_280@gmail.com
281,0,0,0,student_281@gmail.com
282,0,0,0,student_282@gmail.com
283,0,0,0,student_283@gmail.com
284,0,0,0,student_284@gmail.com
285,0,0,0,student_285@gmail.com
286,0,0,0,student_286@gmail.com
287,0,0,0,student_287@gmail.com
288,0,0,0,student_288@gmail.com
289,0,0,0,student_289@gmail.com
290,0,0,0,student_290@gmail.com
291,0,0,0,student_291@gmail.com
292,0,0,0,student_292@gmail.com
293,0,0,0,student_293@gmail.com
294,0,0,0,student_294@gmail.com
295,0,0,0,student_295@gmail.com
296,0,0,0,student_296@gmail.com
297,0,0,0,student_297@gmail.com
298,0,0,0,student_298@gmail.com
299,0,0,0,student_299@gmail.com
300,0,0,0,student_300@gmail.com
301,0,0,0,student_301@gmail.com
302,0,0,0,student_302@gmail.com
303,0,0,0,student_303@gmail.com
304,0,0,0,student_304@gmail.com
305,0,0,0,student_305@gmail.com
306,0,0,0,student_306@gmail.com
307,0,0,0,student_307@gmail.com
308,0,0,0,student_308@gmail.com
309,0,0,0,student_309@gmail.com
310,0,0,0,student_310@gmail.com
311,0,0,0,student_311@gmail.com
312,0,0,0,student_312@gmail.com
313,0,0,0,student_313@gmail.com
314,0,0,0,student_314@gmail.com
315,0,0,0,student_315@gmail.com
316,0,0,0,student_316@gmail.com
317,0,0,0,student_317@gmail.com
318,0,0,0,student_318@gmail.com
319,0,0,0,student_319@gmail.com
320,0,0,0,student_320@gmail.com
321,0,0,0,student_321@gmail.com
322,0,0,0,student_322@gmail.com
323,0,0,0,student_323@gmail.com
324,0,0,0,student_324@gmail.com
325,0,0,0,student_325@gmail.com
326,0,0,0,student_326@gmail.com
327,0,0,0,student_327@gmail.com
328,0,0,0,student_328@gmail.com
329,0,0,0,student_329@gmail.com
330,0,0,0,student_330@gmail.com
331,0,0,0,student_331@gmail.com
332,0,0,0,student_332@gmail.com
333,0,0,0,student_333@gmail.com
